n_particles,w,c1,c2,penalty_method,rho,C,alpha,best_position,objective_value,inequality_0,inequality_1,violated
60,0.4,2.0,2.5,ADAPTIVE,NA,0.5,1.0,"[1.3622074556498553, 0.08983086697268217]",-0.6583743520595473,0.627631723262322,-13.547961677377462,True
58,1.3771743139511807,1.607686891497769,2.15086954401139,ADAPTIVE,NA,0.5265812240638382,1.114695087609153,"[1.4157448943675022, 0.3758289326876363]",-0.46818682600178463,0.21792210739189133,-13.208426172944861,True
60,0.4,1.5,2.0,ADAPTIVE,NA,0.5,2.0,"[1.6373254704161189, 0.19142010624167316]",-0.5546177430962095,0.43658298450074906,-13.171254423342209,True
59,1.3846104459616206,1.6838112200386628,2.2695913814315465,STATIC,8612.237747588504,NA,NA,"[3.2224390375632606, 1.4631635157942136]",-0.25177643209366396,-3.9649552316335823,-10.314397446642527,False
11,0.40941435405692683,1.8297104427484858,2.4152812379024575,STATIC,9666.804158141664,NA,NA,"[1.599055745241932, 0.4690093404216237]",-0.3649909655843264,2.791962667358927e-05,-12.931934914336445,True
43,0.4037863877978677,1.6623325160624456,2.183521929997769,ADAPTIVE,NA,0.5116849275173748,1.2247949749217981,"[1.5117164429130567, 0.42434430142205504]",-0.4204950422187702,0.10851174208382497,-13.063939255664888,True
56,0.4,1.5,2.0736247849502503,ADAPTIVE,NA,0.5,2.0,"[1.2622135425268088, 0.2628328183304862]",-0.5365763420298432,0.41824885728277184,-13.474953639142704,True
56,0.4,1.7614849897389744,2.0,ADAPTIVE,NA,0.5,2.0,"[1.7534331706555837, 0.29521553737004]",-0.431947857504683,0.23235928428245878,-12.951351291974376,True
60,0.4,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.1982913782558036, 0.18697360143590247]",-0.565444260134224,0.5259511454379211,-13.614735020308293,True
59,1.3803168185986987,1.830082446435581,2.443652022585348,ADAPTIVE,NA,0.513307805656298,1.5648962858148665,"[1.3184171152806157, 0.27305691902366314]",-0.5445361186328205,0.38999708451340936,-13.408525965695722,True
60,0.4,1.5,2.5,ADAPTIVE,NA,0.5,1.0,"[1.5065086951122342, 0.0794131221282024]",-0.6482259108900067,0.6303634410078534,-13.414078182759564,True
60,1.4,1.5,2.5,ADAPTIVE,NA,0.5,2.0,"[1.1442139391410866, 0.09532465691012071]",-0.5832481972642528,0.6409281988195982,-13.760461403948792,True
